37.192750,-80.402139
37.191909,-80.401499
37.190705,-80.400992
37.195560,-80.406013
37.196005, -80.406721
37.197474,-80.408935
37.197425,-80.40886
37.197376,-80.408785
37.197328,-80.40871
37.197279,-80.408634
37.19723,-80.408559
37.197181,-80.408483
37.197132,-80.408408
37.197083,-80.408333
37.197034,-80.408257
37.196985,-80.408182
37.196936,-80.408107
37.196887,-80.408032
37.196837,-80.407956
37.196788,-80.407881
37.196738,-80.407805
37.196688,-80.407729
37.196638,-80.407653
37.19659,-80.407576
37.196541,-80.407498
37.196487,-80.407413
37.196443,-80.407342
37.196393,-80.407264
37.196345,-80.407192
37.19629,-80.407111
37.196238,-80.407034
37.196186,-80.406957
37.196134,-80.40688
37.196082,-80.406802
37.196029,-80.406725
37.195977,-80.406648
37.195925,-80.406571
37.195872,-80.406494
37.19582,-80.406417
37.195768,-80.40634
37.195715,-80.406263
37.195663,-80.406185
37.195611,-80.406107
37.195558,-80.406029
37.195506,-80.405951
37.195453,-80.405872
37.195401,-80.405793
37.195348,-80.405714
37.195295,-80.405634
37.195242,-80.405555
